Datum,Projekt,Startzeit,Endzeit,Stunden
11.06.2020,rhenus,17:05,17:05,0:00
11.06.2020,ssi,17:10,17:10,0:00
11.06.2020,rhenus,17:16,17:17,0:01
11.06.2020,ssi,17:36,17:36,0:00
11.06.2020,rhenus,18:16,18:16,0:00
11.06.2020,rhenus,18:16,18:17,0:00
11.06.2020,ssi,18:22,18:22,0:00
11.06.2020,rhenus,19:35,19:35,0:00
11.06.2020,ssi,19:40,19:40,0:00
11.06.2020,ssi,20:19,20:19,0:00
11.06.2020,rhenus,20:49,20:49,0:00
11.06.2020,rhenus,20:49,20:49,0:00
11.06.2020,ssi,23:01,23:01,0:00
12.06.2020,rhenus,02:28,02:30,0:02
12.06.2020,ssi,02:39,02:39,0:00
12.06.2020,rhenus,02:41,02:41,0:00
12.06.2020,rhenus,02:43,02:43,0:00
12.06.2020,ssi,02:45,02:45,0:00
12.06.2020,rhenus,18:19,18:19,0:00
12.06.2020,rhenus,18:29,18:29,0:00
12.06.2020,rhenus,18:29,18:29,0:00
12.06.2020,rhenus,18:29,18:30,0:00
12.06.2020,ssi,18:31,18:31,0:00
12.06.2020,ssi,18:32,18:32,0:00
12.06.2020,rhenus,18:34,18:34,0:00
12.06.2020,rhenus,18:34,18:34,0:00
12.06.2020,rhenus,18:45,18:45,0:00

ssi,0:00
rhenus,0:03
